fiscal_year,payroll_number,agency_name,agency_start_date,work_location_borough,title_description,leave_status,base_salary,pay_basis,regular_hours,regular_gross_paid,ot_hours,total_ot_paid,total_other_pay,is_manager,is_violation
2025,57,FIRE DEPARTMENT,5/22/2023,BRONX,EMERGENCY MEDICAL SPECIALIST-EMT,ACTIVE,41617,per Annum,2085.72,42469.66,7.5,291.57,3730.22,FALSE,FALSE
2025,57,FIRE DEPARTMENT,1/29/2024,BRONX,EMERGENCY MEDICAL SPECIALIST-EMT,ON LEAVE,41617,per Annum,1845,33184.33,93.73,1723.73,4964.89,FALSE,FALSE
2025,57,FIRE DEPARTMENT,9/12/2023,BRONX,EMERGENCY MEDICAL SPECIALIST-EMT,ACTIVE,41617,per Annum,2295,43488.92,120.5,2565.31,6563.03,FALSE,FALSE
2025,57,FIRE DEPARTMENT,5/22/2023,BRONX,EMERGENCY MEDICAL SPECIALIST-EMT,ACTIVE,41617,per Annum,2298,41618.8,57.75,2022.4,4949.51,FALSE,FALSE
2025,57,FIRE DEPARTMENT,9/12/2023,BRONX,EMERGENCY MEDICAL SPECIALIST-EMT,ACTIVE,41617,per Annum,2254.25,41662.42,28.65,432.62,7561.15,FALSE,FALSE
2025,57,FIRE DEPARTMENT,5/22/2023,BRONX,EMERGENCY MEDICAL SPECIALIST-EMT,ACTIVE,41617,per Annum,2385.5,44105.51,321,9583.93,9396.35,FALSE,FALSE
2025,57,FIRE DEPARTMENT,1/29/2024,BRONX,EMERGENCY MEDICAL SPECIALIST-EMT,ACTIVE,41617,per Annum,2305,41861.21,257,7087.26,4507.15,FALSE,FALSE
2025,57,FIRE DEPARTMENT,1/29/2024,BRONX,EMERGENCY MEDICAL SPECIALIST-EMT,ACTIVE,41617,per Annum,2297,41522.58,145.75,3618.61,7158.9,FALSE,FALSE
2025,57,FIRE DEPARTMENT,1/29/2024,BRONX,EMERGENCY MEDICAL SPECIALIST-EMT,ACTIVE,41617,per Annum,2297.5,41526.57,187.17,5521,5817.17,FALSE,FALSE
2025,57,FIRE DEPARTMENT,6/11/2018,BRONX,EMERGENCY MEDICAL SPECIALIST-EMT,ON LEAVE,41617,per Annum,602.25,7542.82,7.5,111.06,3114.79,FALSE,FALSE
2025,57,FIRE DEPARTMENT,9/12/2023,BRONX,EMERGENCY MEDICAL SPECIALIST-EMT,ACTIVE,41617,per Annum,2392,44568.53,123.5,2028.62,7177.55,FALSE,FALSE
2025,57,FIRE DEPARTMENT,1/29/2024,BRONX,EMERGENCY MEDICAL SPECIALIST-EMT,ACTIVE,41617,per Annum,2315.75,41765.92,1980.23,62348.37,7541.79,FALSE,FALSE
2025,57,FIRE DEPARTMENT,5/22/2023,BRONX,EMERGENCY MEDICAL SPECIALIST-EMT,ON LEAVE,41617,per Annum,1840.57,31967.6,157.25,4468.55,4751.22,FALSE,FALSE
2025,57,FIRE DEPARTMENT,9/12/2023,BRONX,EMERGENCY MEDICAL SPECIALIST-EMT,ACTIVE,41617,per Annum,2299.25,42289.85,262.75,7393.06,4683.57,FALSE,FALSE
2025,57,FIRE DEPARTMENT,1/29/2024,BRONX,EMERGENCY MEDICAL SPECIALIST-EMT,ACTIVE,41617,per Annum,2368.5,42559.7,199.75,4734.34,7775.84,FALSE,FALSE
2025,57,FIRE DEPARTMENT,1/29/2024,BRONX,EMERGENCY MEDICAL SPECIALIST-EMT,ACTIVE,41617,per Annum,2272.5,41182.8,280,8758.85,5487.37,FALSE,FALSE
2025,57,FIRE DEPARTMENT,1/29/2024,BRONX,EMERGENCY MEDICAL SPECIALIST-EMT,ACTIVE,41617,per Annum,2332,39874.26,132,3330.4,6113.45,FALSE,FALSE
